,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
70,wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,221543,82,0.853,0.39,0.351,9.38e-06,0.752,-10.198,0.241,0.282,118.028,4
71,Friday (feat.Jang Yi-jeong of HISTORY),Modern Times ? Epilogue,IU,2013-12-20,217155,59,0.693,0.56,0.529,0.0,0.111,-4.819,0.0539,0.555,80.026,4
72,Put Your Records On,Corinne Bailey Rae,Corinne Bailey Rae,2006-01-01,215360,77,0.739,0.167,0.511,1.34e-06,0.133,-7.844,0.0362,0.542,96.038,4
73,Good as Hell (feat. Ariana Grande) - Remix,Good as Hell (feat. Ariana Grande) [Remix],Lizzo,2019-10-25,159011,82,0.668,0.298,0.892,0.0,0.735,-3.001,0.0645,0.478,95.927,4
74,Missin' You Like Crazy,Us,Us The Duo,2012-06-15,206146,50,0.742,0.607,0.302,0.0,0.101,-9.596,0.0398,0.438,78.505,4
75,The Pocket,Andy Grammer,Andy Grammer,2011-06-14,233666,41,0.664,0.0503,0.763,0.0,0.239,-5.084,0.122,0.555,99.966,4
76,Have Yourself a Merry Little Christmas,The Christmas EP,Daniela Andrade,2013-12-04,113421,31,0.616,0.859,0.226,0.0,0.103,-7.552,0.0407,0.437,95.219,4
77,Be Alright,Be Alright,Lola Rhodes,2018-09-28,180466,60,0.664,0.856,0.177,0.0,0.136,-13.54,0.0335,0.29,105.008,4
78,Serendipity,Higher,Albert Posis,2012-11-01,144588,53,0.734,0.173,0.456,0.0,0.111,-6.89,0.0358,0.77,138.007,3
79,How’d I Ever Think I Loved You,In the Nighttime,David Myles,2013-05-14,203735,4,0.883,0.364,0.527,0.0,0.0881,-5.49,0.0593,0.947,137.002,4
80,I Still Feel The Same About You,Ella: The Legendary Decca Recordings,Ella Fitzgerald,1995-08-29,198760,31,0.61,0.895,0.117,0.0,0.0959,-14.947,0.0423,0.523,88.459,4
81,Can't Take My Eyes off You,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,2003-01-14,203240,69,0.575,0.566,0.764,1.07e-05,0.0692,-7.448,0.0746,0.536,123.821,4
82,current location,kinda,LANY,2016-06-24,189010,58,0.584,0.523,0.718,0.00186,0.357,-7.154,0.0403,0.173,99.965,4
83,All Time Low,The Human Condition,Jon Bellion,2016-06-10,217603,72,0.617,0.0584,0.567,0.0,0.0933,-4.188,0.0828,0.505,90.246,4
84,1000 Songs (4 You (2 Night) ) - Live,Egil Olsen Show,Egil Olsen,2011-10-28,108973,6,0.516,0.948,0.488,0.00278,0.705,-15.958,0.434,0.555,89.789,4
85,Jambalaya (On The Bayou),Now & Then (Reissue),Carpenters,1973-05-01,222626,48,0.617,0.747,0.457,0.000318,0.0716,-14.187,0.072,0.819,97.698,4
86,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,Tones And I,2019-10-17,209438,94,0.824,0.692,0.588,0.000104,0.149,-6.4,0.0924,0.513,98.027,4
87,my ted talk,the masquerade,mxmtoon,2019-09-17,152253,46,0.684,0.868,0.271,0.0,0.0994,-9.145,0.0609,0.685,112.748,4
88,Party In The U.S.A.,The Time Of Our Lives,Miley Cyrus,2009-01-01,202066,74,0.652,0.00112,0.698,0.000115,0.0886,-4.667,0.042,0.47,96.021,4
89,Ladies,Andy Grammer,Andy Grammer,2011-06-14,212680,33,0.719,0.249,0.721,0.0,0.219,-5.288,0.0552,0.502,102.017,4
90,Something Just Like This - Acoustic,Something Just Like This,Missy & Blonde,2017-03-17,189793,65,0.608,0.749,0.307,0.000252,0.156,-10.859,0.0285,0.505,99.938,4
91,Forever,Magazines Or Novels,Andy Grammer,2014-08-05,218831,42,0.709,0.159,0.729,8.17e-05,0.0861,-5.529,0.0403,0.8,95.014,4
92,Coming Back Again,I Love 1984,Geyster,2003,201426,9,0.609,0.0198,0.923,9.21e-06,0.0978,-3.888,0.0415,0.769,122.029,4
93,Shallow - Acoustic,he said. she said.,Tyler Ward,2019-05-17,182553,51,0.332,0.825,0.282,0.0,0.104,-7.257,0.044,0.234,187.057,4
94,Dilemma,Dilemma,Brandon Chase,2018-12-07,247683,59,0.627,0.788,0.246,0.0,0.118,-11.41,0.0342,0.52,141.303,4
95,I Don't Mind,Homework,Darren Criss,2017-12-15,153426,37,0.436,0.818,0.254,0.0,0.109,-9.552,0.0356,0.332,98.698,4
96,Business Cycles,Business Cycles,Kid Hastings,2018-11-13,245853,32,0.517,0.843,0.456,0.000228,0.252,-7.888,0.0352,0.0955,81.85,4
97,Plans,Oh Wonder,Oh Wonder,2015-09-04,235671,50,0.458,0.833,0.298,0.0599,0.0631,-13.191,0.25,0.144,76.575,4
98,Partners in Crime,Blood Harmony,FINNEAS,2019-10-04,223283,58,0.572,0.804,0.42,0.00063,0.0966,-12.714,0.339,0.436,172.681,3
99,Falling Slowly,Music From The Motion Picture Once,Glen Hansard,2007-05-22,244133,64,0.34,0.679,0.209,0.000443,0.101,-11.869,0.0279,0.151,137.042,4
