,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
71,Lost In Japan,Shawn Mendes,Shawn Mendes,2018-05-25,201200,76,0.255,0.713,0.738,0.0,0.106,-6.784,0.374,0.425,105.027,4
72,High Hopes,Pray for the Wicked,Panic! At The Disco,2018-06-22,190946,84,0.193,0.579,0.904,0.0,0.064,-2.729,0.0618,0.681,82.014,4
73,Without Me,Without Me,Halsey,2018-10-04,201660,84,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,0.533,136.041,4
74,Love Someone,Love Someone,Lukas Graham,2018-09-07,205463,75,0.161,0.55,0.415,0.0,0.108,-6.557,0.052,0.274,172.065,4
75,Beautiful Now,True Colors,Zedd,2015-05-18,218293,70,0.0079,0.628,0.833,1.48e-05,0.074,-4.126,0.0282,0.56,128.003,4
76,Vincent,American Pie,Don McLean,1971,243493,70,0.908,0.419,0.085,5.33e-06,0.34,-19.387,0.0362,0.458,91.509,3
77,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,174800,80,0.0337,0.664,0.708,0.0,0.0841,-4.154,0.0474,0.742,103.07,4
78,Kiss and Make Up,Dua Lipa (Complete Edition),Dua Lipa,2018-10-19,189173,77,0.0658,0.678,0.729,0.0,0.303,-4.188,0.137,0.643,99.895,4
79,Waiting For Tomorrow (feat. Mike Shinoda),BYLAW EP,Martin Garrix,2018-10-19,247504,57,0.00731,0.507,0.887,0.0,0.562,-4.084,0.141,0.336,128.015,4
80,broken,finding it hard to smile,lovelytheband,2018-08-03,204878,74,0.00175,0.666,0.728,4.26e-06,0.0429,-5.808,0.0419,0.51,122.996,4
81,Youngblood,Youngblood (Deluxe),5 Seconds of Summer,2018-06-15,203417,83,0.0169,0.596,0.854,0.0,0.124,-5.114,0.463,0.152,120.274,4
82,Happier,Happier,Marshmello,2018-08-17,214289,86,0.191,0.687,0.792,0.0,0.167,-2.749,0.0452,0.671,100.015,4
83,Girls Like You,Red Pill Blues (Deluxe),Maroon 5,2018-06-15,215229,64,0.558,0.611,0.462,1.01e-06,0.131,-7.054,0.0646,0.377,59.635,4
84,Never Be the Same,Camila,Camila Cabello,2018-01-12,226973,73,0.181,0.637,0.713,0.000637,0.137,-4.333,0.0747,0.243,129.923,4
85,"Audio (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,204093,70,0.209,0.568,0.701,1.06e-06,0.0769,-4.566,0.0426,0.353,89.969,4
86,Head Above Water,Head Above Water,Avril Lavigne,2019-02-15,220850,71,0.0112,0.578,0.694,0.0,0.102,-5.351,0.0706,0.268,129.921,4
87,Better Now,beerbongs & bentleys,Post Malone,2018-04-27,231266,85,0.331,0.68,0.578,0.0,0.135,-5.804,0.04,0.341,145.038,4
88,Lucky,We Sing. We Dance. We Steal Things.,Jason Mraz,2008-05-12,191360,76,0.296,0.623,0.417,0.0,0.135,-8.699,0.0354,0.721,130.032,4
89,Lay Me Down,In The Lonely Hour (Drowning Shadows Edition),Sam Smith,2015-11-06,219535,76,0.919,0.468,0.19,0.0,0.107,-11.138,0.0373,0.326,125.319,4
90,Latch,Settle (Deluxe),Disclosure,2014-01-01,255866,69,0.0178,0.729,0.735,0.000193,0.089,-5.455,0.0919,0.544,121.986,4
91,Treat You Better,Illuminate,Shawn Mendes,2017-04-20,187973,82,0.106,0.444,0.819,0.0,0.107,-4.078,0.341,0.747,82.695,4
92,TREAT MYSELF,TREAT MYSELF,Meghan Trainor,2018-07-20,173766,49,0.00284,0.689,0.684,0.0,0.758,-4.561,0.0463,0.692,107.989,4
93,High On Life (feat. Bonn),High On Life (feat. Bonn),Martin Garrix,2018-07-29,230761,76,0.0129,0.414,0.486,0.0,0.111,-6.431,0.0311,0.368,128.038,4
94,Promises (with Sam Smith),Promises (with Sam Smith),Calvin Harris,2018-08-17,213309,81,0.0119,0.781,0.768,4.91e-06,0.325,-5.991,0.0394,0.486,123.07,4
95,Slow Hands,Flicker (Deluxe),Niall Horan,2017-10-20,188174,76,0.011,0.735,0.425,0.0,0.055,-6.648,0.0466,0.848,85.894,4
96,Slow,First Time - EP,Liam Payne,2018-08-24,209338,49,0.158,0.641,0.644,0.0,0.127,-5.41,0.0428,0.369,147.035,4
97,Everybody Hates Me,Sick Boy,The Chainsmokers,2018-12-14,223466,64,0.00703,0.475,0.752,0.0,0.406,-6.596,0.0467,0.515,154.957,4
98,Side Effects,Sick Boy,The Chainsmokers,2018-12-14,172746,65,0.00217,0.669,0.711,0.0,0.466,-6.758,0.033,0.544,110.01,4
99,2U,2U,David Guetta,2017-06-09,194906,64,0.225,0.551,0.651,0.0,0.224,-5.828,0.0594,0.562,144.875,4
